section,metric,rule_or_target,actual,status,note
Event exposure,total_carrying_cost > 0,>0,4.222M,PASS,Time-based: accumulates weekly by design
Event exposure,total_lost_revenue_opportunity > 0,>0,26.617M,PASS,
Event exposure,aged_inventory_markdown_snapshot (NOT summable),point-in-time,"mean 65.53 / max 24,124.04",INFO,Snapshot column: summing across weeks would recognise the same units repeatedly
Totals,total net revenue after returns,-,328.121M,INFO,
Totals,total gross shipped revenue,-,347.669M,INFO,
Totals,total gross returns value,-,19.549M,INFO,
Totals,total non-sellable returns value,-,3.016M,INFO,
Totals,total markdown revenue reduction,-,3.911M,INFO,
Totals,total lost revenue opportunity (under-buy),-,26.617M,INFO,
Totals,total carrying cost exposure,-,4.222M,INFO,
Totals,total season-end markdown event exposure,-,0.003M,INFO,
Totals,total liquidation event exposure,-,0.001M,INFO,
Totals,total obsolescence event exposure,-,0.582M,INFO,
Totals,total over-buy event exposure,-,4.808M,INFO,
Totals,total two-sided planning exposure,-,31.425M,INFO,
Totals,under-buy : over-buy exposure ratio,"reported, not tuned",5.54 : 1,INFO,"Reported as produced by Step 3C v5 inventory. Note the two sides are not like-for-like: under-buy is forgone top-line revenue, over-buy is a cost/write-down exposure"
Economics by SKU,APS-001 — net revenue after returns,-,85.025M,INFO,
Economics by SKU,APS-001 — lost revenue opportunity,-,10.767M,INFO,
Economics by SKU,APS-001 — carrying cost,-,1.061M,INFO,
Economics by SKU,APS-001 — season-end markdown event,-,0.001M,INFO,
Economics by SKU,APS-001 — liquidation event,-,0.000M,INFO,
Economics by SKU,APS-001 — obsolescence event,-,0.165M,INFO,
Economics by SKU,APS-001 — total over-buy exposure,-,1.227M,INFO,
Economics by SKU,APS-001 — under:over ratio,-,8.78 : 1,INFO,
Economics by SKU,CTS-001 — net revenue after returns,-,131.148M,INFO,
Economics by SKU,CTS-001 — lost revenue opportunity,-,5.232M,INFO,
Economics by SKU,CTS-001 — carrying cost,-,1.812M,INFO,
Economics by SKU,CTS-001 — season-end markdown event,-,0.000M,INFO,
Economics by SKU,CTS-001 — liquidation event,-,0.001M,INFO,
Economics by SKU,CTS-001 — obsolescence event,-,0.210M,INFO,
Economics by SKU,CTS-001 — total over-buy exposure,-,2.023M,INFO,
Economics by SKU,CTS-001 — under:over ratio,-,2.59 : 1,INFO,
Economics by SKU,IMH-001 — net revenue after returns,-,111.948M,INFO,
Economics by SKU,IMH-001 — lost revenue opportunity,-,10.618M,INFO,
Economics by SKU,IMH-001 — carrying cost,-,1.349M,INFO,
Economics by SKU,IMH-001 — season-end markdown event,-,0.003M,INFO,
Economics by SKU,IMH-001 — liquidation event,-,0.000M,INFO,
Economics by SKU,IMH-001 — obsolescence event,-,0.207M,INFO,
Economics by SKU,IMH-001 — total over-buy exposure,-,1.558M,INFO,
Economics by SKU,IMH-001 — under:over ratio,-,6.81 : 1,INFO,
Economics by channel,ECOM — net revenue after returns,-,154.567M,INFO,
Economics by channel,ECOM — lost revenue opportunity,-,11.567M,INFO,
Economics by channel,ECOM — carrying cost,-,1.948M,INFO,
Economics by channel,ECOM — season-end markdown event,-,0.000M,INFO,
Economics by channel,ECOM — liquidation event,-,0.000M,INFO,
Economics by channel,ECOM — obsolescence event,-,0.277M,INFO,
Economics by channel,ECOM — total over-buy exposure,-,2.225M,INFO,
Economics by channel,ECOM — under:over ratio,-,5.20 : 1,INFO,
Economics by channel,RETAIL — net revenue after returns,-,115.701M,INFO,
Economics by channel,RETAIL — lost revenue opportunity,-,8.861M,INFO,
Economics by channel,RETAIL — carrying cost,-,1.490M,INFO,
Economics by channel,RETAIL — season-end markdown event,-,0.001M,INFO,
Economics by channel,RETAIL — liquidation event,-,0.000M,INFO,
Economics by channel,RETAIL — obsolescence event,-,0.210M,INFO,
Economics by channel,RETAIL — total over-buy exposure,-,1.701M,INFO,
Economics by channel,RETAIL — under:over ratio,-,5.21 : 1,INFO,
Economics by channel,WHOLESALE — net revenue after returns,-,57.853M,INFO,
Economics by channel,WHOLESALE — lost revenue opportunity,-,6.189M,INFO,
Economics by channel,WHOLESALE — carrying cost,-,0.785M,INFO,
Economics by channel,WHOLESALE — season-end markdown event,-,0.002M,INFO,
Economics by channel,WHOLESALE — liquidation event,-,0.001M,INFO,
Economics by channel,WHOLESALE — obsolescence event,-,0.095M,INFO,
Economics by channel,WHOLESALE — total over-buy exposure,-,0.882M,INFO,
Economics by channel,WHOLESALE — under:over ratio,-,7.02 : 1,INFO,
Economics by plan year,PY2022 — net revenue after returns,-,59.817M,INFO,
Economics by plan year,PY2022 — lost revenue opportunity,-,3.419M,INFO,
Economics by plan year,PY2022 — carrying cost,-,0.827M,INFO,
Economics by plan year,PY2022 — season-end markdown event,-,0.003M,INFO,
Economics by plan year,PY2022 — liquidation event,-,0.000M,INFO,
Economics by plan year,PY2022 — obsolescence event,-,0.120M,INFO,
Economics by plan year,PY2022 — total over-buy exposure,-,0.950M,INFO,
Economics by plan year,PY2022 — under:over ratio,-,3.60 : 1,INFO,
Economics by plan year,PY2023 — net revenue after returns,-,63.012M,INFO,
Economics by plan year,PY2023 — lost revenue opportunity,-,4.831M,INFO,
Economics by plan year,PY2023 — carrying cost,-,0.790M,INFO,
Economics by plan year,PY2023 — season-end markdown event,-,0.000M,INFO,
Economics by plan year,PY2023 — liquidation event,-,0.000M,INFO,
Economics by plan year,PY2023 — obsolescence event,-,0.098M,INFO,
Economics by plan year,PY2023 — total over-buy exposure,-,0.889M,INFO,
Economics by plan year,PY2023 — under:over ratio,-,5.44 : 1,INFO,
Economics by plan year,PY2024 — net revenue after returns,-,63.577M,INFO,
Economics by plan year,PY2024 — lost revenue opportunity,-,5.102M,INFO,
Economics by plan year,PY2024 — carrying cost,-,0.835M,INFO,
Economics by plan year,PY2024 — season-end markdown event,-,0.000M,INFO,
Economics by plan year,PY2024 — liquidation event,-,0.001M,INFO,
Economics by plan year,PY2024 — obsolescence event,-,0.118M,INFO,
Economics by plan year,PY2024 — total over-buy exposure,-,0.954M,INFO,
Economics by plan year,PY2024 — under:over ratio,-,5.35 : 1,INFO,
Economics by plan year,PY2025 — net revenue after returns,-,68.664M,INFO,
Economics by plan year,PY2025 — lost revenue opportunity,-,6.612M,INFO,
Economics by plan year,PY2025 — carrying cost,-,0.813M,INFO,
Economics by plan year,PY2025 — season-end markdown event,-,0.000M,INFO,
Economics by plan year,PY2025 — liquidation event,-,0.000M,INFO,
Economics by plan year,PY2025 — obsolescence event,-,0.110M,INFO,
Economics by plan year,PY2025 — total over-buy exposure,-,0.922M,INFO,
Economics by plan year,PY2025 — under:over ratio,-,7.17 : 1,INFO,
Economics by plan year,PY2026 — net revenue after returns,-,73.051M,INFO,
Economics by plan year,PY2026 — lost revenue opportunity,-,6.652M,INFO,
Economics by plan year,PY2026 — carrying cost,-,0.957M,INFO,
Economics by plan year,PY2026 — season-end markdown event,-,0.000M,INFO,
Economics by plan year,PY2026 — liquidation event,-,0.000M,INFO,
Economics by plan year,PY2026 — obsolescence event,-,0.136M,INFO,
Economics by plan year,PY2026 — total over-buy exposure,-,1.093M,INFO,
Economics by plan year,PY2026 — under:over ratio,-,6.09 : 1,INFO,
Known limitation,peak shortage concentration,"documented, not tuned",Dec–Jan carry 63.1% of lost demand,INFO,The synthetic inventory system still concentrates most peak shortages in December–January. Economics should reflect that current dataset rather than tuning it away.
Known limitation,shallow inventory aging,documented,4 rows with 27w+ stock; 1 liquidation event(s),INFO,"Step 3C v5 replenishes to a weeks-of-supply target and the plan year ends in late June at the annual inventory low, so little stock survives to 27+ weeks. Liquidation and season-end markdown are therefore present but immaterial; obsolescence and carrying cost dominate over-buy exposure."
Known limitation,valuation basis,no real COGS,FULL_PRICE_CHANNEL_REALIZED_VALUE_PROXY_NOT_COGS,INFO,"All inventory values are units x MSRP x channel realisation. Not accounting profit, not Arc'teryx margin."
Known limitation,channel realisation provenance,registered in Step 3D v4,ECOM 0.965 / RETAIL 0.955 / WHOLESALE 0.520,INFO,Step 3A v3.1 registers MSRP but not channel realisation. These values are carried forward from the project's established pricing layer and registered here; they should be added to Step 3A at the next revision.
