assumption_name,value,unit,provenance,rationale,owner_role,status,effective_date,notes
commercial_channel_mix_retail,0.35,share,SYNTHETIC PLANNING ASSUMPTION,DTC-led premium launch: shift toward RETAIL,Merchandising,FROZEN,2026-08-31,
commercial_channel_mix_wholesale,0.2,share,SYNTHETIC PLANNING ASSUMPTION,Wholesale deferred/scaled-in after launch proof to protect premium presentation,Merchandising,FROZEN,2026-08-31,
final_planned_channel_mix,ECOM0.45|RETAIL0.35|WHOLESALE0.20,shares,SYNTHETIC PLANNING ASSUMPTION,Commercial override retained as the planned launch mix; analytical prior preserved separately,Demand Planning,FROZEN,2026-08-31,
blended_analog_annual_comparable_units,45800.0,units/yr,DERIVED (frozen mature data),0.60*APS(28271)+0.40*IMH(72093); analog property used as the scale anchor - NOT a HIS forecast,Demand Planning,FROZEN,2026-08-31,
base_launch_scale_factor,0.6,x of blended analog,SYNTHETIC PLANNING ASSUMPTION,"Conservative first-season: premium price, unproven demand, product overlap, DTC-led narrower distribution",Demand Planning,FROZEN,2026-08-31,
adoption_multiplier_low,0.75,x of Base,SYNTHETIC PLANNING ASSUMPTION,Weak adoption / analog overstatement,Demand Planning,FROZEN,2026-08-31,
adoption_multiplier_base,1.0,x of Base,SYNTHETIC PLANNING ASSUMPTION,Expected launch adoption,Demand Planning,FROZEN,2026-08-31,
adoption_multiplier_high,1.25,x of Base,SYNTHETIC PLANNING ASSUMPTION,"Strong adoption / analog understatement; symmetric +-25% band (cost asymmetry handled in the buy buffer, not the demand band)",Demand Planning,FROZEN,2026-08-31,
lifecycle_horizon,2026-09 to 2028-02 (18 months),range,SYNTHETIC PLANNING ASSUMPTION,Spans two Fall/Winter seasons for lifecycle + second-season planning,Demand Planning,FROZEN,2026-08-31,
lifecycle_phases,PRE-LAUNCH|LAUNCH|RAMP|SEASONAL PEAK|NORMALIZATION|SECOND-SEASON/MATURATION,list,SYNTHETIC PLANNING ASSUMPTION,Phase structure for the 18-month curve; units populated in Step 7C,Demand Planning,FROZEN,2026-08-31,
weather_scenario_overlay,MILD|NORMAL|SEVERE,list,DERIVED (frozen mature data),"Reused from frozen Step 4C; composable with adoption scenarios, kept separate",Demand Planning,FROZEN,2026-08-31,
topdown_category_growth,,pct,NOT YET SET (Step 7D),Synthetic commercial input for reconciliation; not invented in 7B,Merchandising/Finance,NOT YET SET,2026-08-31,
topdown_his_share_of_category,,pct,NOT YET SET (Step 7D),HIS share of the outerwear category; set with commercial input in 7D,Merchandising,NOT YET SET,2026-08-31,
topdown_merchandising_expectation,,units,NOT YET SET (Step 7D),Merchandising launch expectation; set in 7D,Merchandising,NOT YET SET,2026-08-31,
topdown_commercial_target,,units,NOT YET SET (Step 7D),Commercial/portfolio target for HIS-001; set in 7D,Finance/Management,NOT YET SET,2026-08-31,
