planning_cycle,forecast_as_of_date,planning_month,month_index,horizon_month_number,sku_id,channel_id,lifecycle_phase,launch_scenario,weather_scenario,pre_weather_units,weather_adjustment_pct,weather_adjusted_units,analytical_baseline_units,forecast_version,provenance
CYCLE_01_2026-08,2026-08-24,2026-09,1,1,HIS-001,WHOLESALE,LAUNCH,BASE,MILD,245.12,-0.0108,242.48,242.48,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-09,1,1,HIS-001,WHOLESALE,LAUNCH,BASE,NORMAL,245.12,0.0,245.12,245.12,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-09,1,1,HIS-001,WHOLESALE,LAUNCH,BASE,SEVERE,245.12,0.0151,248.82,248.82,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-09,1,1,HIS-001,WHOLESALE,LAUNCH,HIGH,NORMAL,306.4,0.0,306.4,306.4,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-09,1,1,HIS-001,WHOLESALE,LAUNCH,LOW,NORMAL,183.83,0.0,183.83,183.83,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-10,2,2,HIS-001,ECOM,RAMP,BASE,MILD,1170.33,-0.04,1123.51,1123.51,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-10,2,2,HIS-001,ECOM,RAMP,BASE,NORMAL,1170.33,0.0,1170.33,1170.33,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-10,2,2,HIS-001,ECOM,RAMP,BASE,SEVERE,1170.33,0.056,1235.86,1235.86,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-10,2,2,HIS-001,ECOM,RAMP,HIGH,NORMAL,1462.9,0.0,1462.9,1462.9,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-10,2,2,HIS-001,ECOM,RAMP,LOW,NORMAL,877.74,0.0,877.74,877.74,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-10,2,2,HIS-001,RETAIL,RAMP,BASE,MILD,910.25,-0.04,873.84,873.84,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-10,2,2,HIS-001,RETAIL,RAMP,BASE,NORMAL,910.25,0.0,910.25,910.25,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-10,2,2,HIS-001,RETAIL,RAMP,BASE,SEVERE,910.25,0.056,961.23,961.23,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-10,2,2,HIS-001,RETAIL,RAMP,HIGH,NORMAL,1137.81,0.0,1137.81,1137.81,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-10,2,2,HIS-001,RETAIL,RAMP,LOW,NORMAL,682.68,0.0,682.68,682.68,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-10,2,2,HIS-001,WHOLESALE,RAMP,BASE,MILD,520.13,-0.04,499.33,499.33,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-10,2,2,HIS-001,WHOLESALE,RAMP,BASE,NORMAL,520.13,0.0,520.13,520.13,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-10,2,2,HIS-001,WHOLESALE,RAMP,BASE,SEVERE,520.13,0.056,549.26,549.26,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-10,2,2,HIS-001,WHOLESALE,RAMP,HIGH,NORMAL,650.18,0.0,650.18,650.18,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-10,2,2,HIS-001,WHOLESALE,RAMP,LOW,NORMAL,390.11,0.0,390.11,390.11,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-11,3,3,HIS-001,ECOM,RAMP,BASE,MILD,1377.91,-0.04,1322.78,1322.78,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-11,3,3,HIS-001,ECOM,RAMP,BASE,NORMAL,1377.91,0.0,1377.91,1377.91,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-11,3,3,HIS-001,ECOM,RAMP,BASE,SEVERE,1377.91,0.056,1455.06,1455.06,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-11,3,3,HIS-001,ECOM,RAMP,HIGH,NORMAL,1722.38,0.0,1722.38,1722.38,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-11,3,3,HIS-001,ECOM,RAMP,LOW,NORMAL,1033.42,0.0,1033.42,1033.42,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-11,3,3,HIS-001,RETAIL,RAMP,BASE,MILD,1071.7,-0.04,1028.84,1028.84,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-11,3,3,HIS-001,RETAIL,RAMP,BASE,NORMAL,1071.7,0.0,1071.7,1071.7,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-11,3,3,HIS-001,RETAIL,RAMP,BASE,SEVERE,1071.7,0.056,1131.72,1131.72,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-11,3,3,HIS-001,RETAIL,RAMP,HIGH,NORMAL,1339.62,0.0,1339.62,1339.62,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-11,3,3,HIS-001,RETAIL,RAMP,LOW,NORMAL,803.78,0.0,803.78,803.78,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-11,3,3,HIS-001,WHOLESALE,RAMP,BASE,MILD,612.4,-0.04,587.9,587.9,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-11,3,3,HIS-001,WHOLESALE,RAMP,BASE,NORMAL,612.4,0.0,612.4,612.4,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-11,3,3,HIS-001,WHOLESALE,RAMP,BASE,SEVERE,612.4,0.056,646.69,646.69,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-11,3,3,HIS-001,WHOLESALE,RAMP,HIGH,NORMAL,765.5,0.0,765.5,765.5,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-11,3,3,HIS-001,WHOLESALE,RAMP,LOW,NORMAL,459.3,0.0,459.3,459.3,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-12,4,4,HIS-001,ECOM,SEASONAL PEAK,BASE,MILD,1927.65,-0.04,1850.55,1850.55,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-12,4,4,HIS-001,ECOM,SEASONAL PEAK,BASE,NORMAL,1927.65,0.0,1927.65,1927.65,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-12,4,4,HIS-001,ECOM,SEASONAL PEAK,BASE,SEVERE,1927.65,0.056,2035.6,2035.6,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-12,4,4,HIS-001,ECOM,SEASONAL PEAK,HIGH,NORMAL,2409.55,0.0,2409.55,2409.55,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-12,4,4,HIS-001,ECOM,SEASONAL PEAK,LOW,NORMAL,1445.7,0.0,1445.7,1445.7,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-12,4,4,HIS-001,RETAIL,SEASONAL PEAK,BASE,MILD,1499.25,-0.04,1439.3,1439.3,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-12,4,4,HIS-001,RETAIL,SEASONAL PEAK,BASE,NORMAL,1499.25,0.0,1499.25,1499.25,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-12,4,4,HIS-001,RETAIL,SEASONAL PEAK,BASE,SEVERE,1499.25,0.056,1583.25,1583.25,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-12,4,4,HIS-001,RETAIL,SEASONAL PEAK,HIGH,NORMAL,1874.1,0.0,1874.1,1874.1,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-12,4,4,HIS-001,RETAIL,SEASONAL PEAK,LOW,NORMAL,1124.45,0.0,1124.45,1124.45,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-12,4,4,HIS-001,WHOLESALE,SEASONAL PEAK,BASE,MILD,856.75,-0.04,822.45,822.45,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-12,4,4,HIS-001,WHOLESALE,SEASONAL PEAK,BASE,NORMAL,856.75,0.0,856.75,856.75,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-12,4,4,HIS-001,WHOLESALE,SEASONAL PEAK,BASE,SEVERE,856.75,0.056,904.7,904.7,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-12,4,4,HIS-001,WHOLESALE,SEASONAL PEAK,HIGH,NORMAL,1070.9,0.0,1070.9,1070.9,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-12,4,4,HIS-001,WHOLESALE,SEASONAL PEAK,LOW,NORMAL,642.55,0.0,642.55,642.55,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2027-01,5,5,HIS-001,ECOM,NORMALIZATION,BASE,MILD,1393.47,-0.04,1337.73,1337.73,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2027-01,5,5,HIS-001,ECOM,NORMALIZATION,BASE,NORMAL,1393.47,0.0,1393.47,1393.47,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2027-01,5,5,HIS-001,ECOM,NORMALIZATION,BASE,SEVERE,1393.47,0.056,1471.52,1471.52,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2027-01,5,5,HIS-001,ECOM,NORMALIZATION,HIGH,NORMAL,1741.84,0.0,1741.84,1741.84,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2027-01,5,5,HIS-001,ECOM,NORMALIZATION,LOW,NORMAL,1045.11,0.0,1045.11,1045.11,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2027-01,5,5,HIS-001,RETAIL,NORMALIZATION,BASE,MILD,1083.81,-0.04,1040.45,1040.45,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2027-01,5,5,HIS-001,RETAIL,NORMALIZATION,BASE,NORMAL,1083.81,0.0,1083.81,1083.81,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2027-01,5,5,HIS-001,RETAIL,NORMALIZATION,BASE,SEVERE,1083.81,0.056,1144.49,1144.49,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2027-01,5,5,HIS-001,RETAIL,NORMALIZATION,HIGH,NORMAL,1354.77,0.0,1354.77,1354.77,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2027-01,5,5,HIS-001,RETAIL,NORMALIZATION,LOW,NORMAL,812.87,0.0,812.87,812.87,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2027-01,5,5,HIS-001,WHOLESALE,NORMALIZATION,BASE,MILD,619.3,-0.0399,594.56,594.56,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2027-01,5,5,HIS-001,WHOLESALE,NORMALIZATION,BASE,NORMAL,619.3,0.0,619.3,619.3,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2027-01,5,5,HIS-001,WHOLESALE,NORMALIZATION,BASE,SEVERE,619.3,0.056,653.99,653.99,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2027-01,5,5,HIS-001,WHOLESALE,NORMALIZATION,HIGH,NORMAL,774.14,0.0,774.14,774.14,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2027-01,5,5,HIS-001,WHOLESALE,NORMALIZATION,LOW,NORMAL,464.5,0.0,464.5,464.5,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2027-02,6,6,HIS-001,ECOM,NORMALIZATION,BASE,MILD,1270.76,-0.04,1219.94,1219.94,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2027-02,6,6,HIS-001,ECOM,NORMALIZATION,BASE,NORMAL,1270.76,0.0,1270.76,1270.76,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2027-02,6,6,HIS-001,ECOM,NORMALIZATION,BASE,SEVERE,1270.76,0.056,1341.91,1341.91,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2027-02,6,6,HIS-001,ECOM,NORMALIZATION,HIGH,NORMAL,1588.45,0.0,1588.45,1588.45,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2027-02,6,6,HIS-001,ECOM,NORMALIZATION,LOW,NORMAL,953.07,0.0,953.07,953.07,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2027-02,6,6,HIS-001,RETAIL,NORMALIZATION,BASE,MILD,988.37,-0.04,948.83,948.83,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2027-02,6,6,HIS-001,RETAIL,NORMALIZATION,BASE,NORMAL,988.37,0.0,988.37,988.37,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2027-02,6,6,HIS-001,RETAIL,NORMALIZATION,BASE,SEVERE,988.37,0.056,1043.71,1043.71,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2027-02,6,6,HIS-001,RETAIL,NORMALIZATION,HIGH,NORMAL,1235.46,0.0,1235.46,1235.46,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2027-02,6,6,HIS-001,RETAIL,NORMALIZATION,LOW,NORMAL,741.29,0.0,741.29,741.29,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2027-02,6,6,HIS-001,WHOLESALE,NORMALIZATION,BASE,MILD,564.77,-0.04,542.19,542.19,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2027-02,6,6,HIS-001,WHOLESALE,NORMALIZATION,BASE,NORMAL,564.77,0.0,564.77,564.77,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2027-02,6,6,HIS-001,WHOLESALE,NORMALIZATION,BASE,SEVERE,564.77,0.056,596.41,596.41,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
